,LootCategory,id,PartType,CardText_CardPriority,CardText_Text,CardText_Color,Manufacturer,DispName,CostMod,RarityMod,Priority,TechMod,AttrMod_Damage_Scale,LinkedPrefix,AttrMod_Recoil_PreAdd,AttrMod_FireRate_PreAdd,AttrMod_ClipSize_Scale,CardMod_Damage,CardMod_Recoil,CardMod_FireRate,CardMod_ClipSize,AttrMod_WeaponLevel_PreAdd,AttrMod_AccRegen_Scale,AttrMod_AccMax_Scale,AttrMod_AccMin_Scale,AttrMod_Recoil_Scale,AttrMod_Spread_Scale,TitleText,AttrMod_ReloadSpeed_Scale,CardMod_Spread,AttrMod_FireRate_Scale,AttrMod_Knockback_Scale,AttrMod_ReloadSpeed_PreAdd,CardMod_ReloadSpeed,AttrMod_ProjectileCount_PreAdd,CardMod_ProjectileCount,AttrMod_CritBonus_Scale,CardMod_CritBonus,TitleAddend,AttrMod_ClipSize_PreAdd,AttrMod_MeleeDamage_Scale,LinkedTitle,Tech1_TechLevel,Tech1_LinkedPrefix,Tech1_TechType,Tech1_ProcChance,Tech1_TechCost,Tech1_Bullet,Tech2_TechLevel,Tech2_LinkedPrefix,Tech2_TechType,Tech2_ProcChance,Tech2_TechCost,Tech2_Bullet,Tech3_TechLevel,Tech3_LinkedPrefix,Tech3_TechType,Tech3_ProcChance,Tech3_TechCost,Tech3_Bullet,Tech4_TechLevel,Tech4_LinkedPrefix,Tech4_TechType,Tech4_ProcChance,Tech4_TechCost,Tech4_Bullet,AttrMod_BurstCount_PreAdd,AttrMod_ProjectileCount_Scale,CardMod_BurstCount,AttrMod_MeleeDamage_PreAdd,CardMod_MeleeDamage,AttrMod_ProjectileCount_PostAdd,AttrMod_CritBonus_PreAdd,AttrMod_AmmoRegen_PostAdd,CardMod_AmmoRegen,AttrMod_ZoomEndFOV_Scale,CardMod_ZoomEndFOV,AttrMod_AccMin_PreAdd,AttrMod_DamageNormalized_Scale,AttrMod_HealthRegen_PostAdd,AttrMod_ShotCost_PreAdd,AttrMod_HealthRegen_PreAdd,CardMod_HealthRegen,AttrMod_ProjectileSpeed_Scale,CardMod_ProjectileSpeed,HelpText,AttrMod_BurstCount_Scale,AttrMod_Spread_PreAdd,AttrMod_AccRegen_PreAdd,AttrMod_AccMax_PostAdd,AttrMod_Knockback_PreAdd,AttrMod_AmmoRegen_Scale,AttrMod_ShotCost_Scale,DamageType,AttrMod_Radius_PreAdd,Spawn,AttrMod_CoolRate_Scale,AttrMod_CoolDelay_Scale
Prefix__Combat,names_shared,p001,Prefix,,,,,Combat,WeaponPartCost1_Common,WeaponPartRarity1_Common,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_Assault,names_shared,p002,Prefix,,,,,Assault,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_Projectiles1_Double,names_shared,p003,Prefix,,,,,Double,WeaponPartCost1_Common,WeaponPartRarity1_Common,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_Quality1_Battle,names_shared,p004,Prefix,,,,,Battle,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.1,1,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_Quality2_War,names_shared,p005,Prefix,,,,,War,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.3,1,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_Quality3_Genocide,names_shared,p006,Prefix,,,,,Genocide,WeaponPartCost1_Common,WeaponPartRarity1_Common,1.6,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_QualityLow_Atlas_Puny,names_shared,p007,Prefix,,,,,Puny,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,0.30,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_QualityLow_Dahl_Surplus,names_shared,p008,Prefix,,,,,Surplus,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,0.30,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_QualityLow_Hyperion_Substandard,names_shared,p009,Prefix,,,,,Substandard,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,0.30,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefix_QualityLow_Jakobs_Plywood,names_shared,p010,Prefix,,,,,Plywood,WeaponPartCost0_Cheap,WeaponPartRarity1_Common,0.30,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
